,Unnamed: 0,Tour_Name,Tour_Type,Number_of_Reviewer,Rating,Duration,Price,Highlight,Location
0,0,31. Phare: The Cambodian Circus Show in Siem Reap,Comedy Shows,992.0,5,1 hour,18,"Siem Reap's most original, authentic live performance., Entry/Admission - Phare, The Cambodian Circus","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1,1,32. Khmer Gourmet Cooking Class,Cooking Classes,55.0,5,2–3 hours,21.5,In-person guide,"Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2,2,33. Koh Ker & Beng Mealea Full-Day Join-in Tour,Full-day Tours,288.0,5,9–10 hours,50,"Cold towels & Bottled water, Professional English-speaking guide, Hotel pickup (7:40am to 8:10am) & Drop off (6pm), Transport by luxury air-conditioned minivan","Asia, Cambodia, Siem Reap Province, Siem Reap, Svay Dangkum, Things to Do in Svay Dangkum, Svay Dangkum Tours, Tours and Tickets"
4,4,35. Bike the Siem Reap Countryside with Local Expert,Adventure Tours,308.0,5,5 hours,35,"Hotel pick up & Drop Off, Professional local English speaking guide, Mountain bike & Helmet, Local snacks and fruits, Cold Towels, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
5,5,36. Explore Battambang full day tour by Tuk Tuk (start from 9am-6:30pm),Full-day Tours,74.0,5,8–10 hours,20,"Bottled water, Include Entrance fee of killing cave and bat cave, Included: all snacks to test samples on the way and donation to the local family, Entry/Admission - Phnom Sampeau, Entry/Admission - Battambang Bat Caves","Asia, Cambodia, Battambang Province, Battambang, Things to Do in Battambang, Battambang Tours, Tours and Tickets"
6,6,37. Award-Winning Cooking Class Experience with Professional Teacher,Cooking Classes,205.0,5,3 hours,25,"Cooking class with a professional chef, Lunch or Dinner prepared during the class","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
7,7,38. 2-Day Angkor Wat and Banteay Srei Temple Tour,Bus Tours,33.0,5,2 days,55,"Vaccinated English speaking tour guide & driver, Breakfast, Air-conditioned transportation ( Car/Minivan/Bus), Free cool water and towels during the tour, Breakfast ( Taste authentic dish with traditional dessert) Only Day 1","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
9,9,40. Ultimate Siem Reap Food Tour (10 Locals Tasting with Drinks & Transport),2–3 hours,31.0,5,2–3 hours,45,"Private transportation, Free Flow, Test the 10 best hand picked local tasting, Passionate Foodie Host","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
10,10,"41. Phnom Penh City Tour, Silver Pagoda, Genocide Museum, Killing Fields",Bus Tours,32.0,5,5 hours,65.67,"Hotel pickup and drop-off, Small Group Tour with max. 10 pax, Sharing tuk tuk (01 and 02 pax) or an air conditioned vehicle (3 or more) during tour, Experience English Speaking Guide, Cold bottled water during tours","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
11,11,42. The Mekong Island Biking Tour and Lunch with farmers,City Tours,92.0,5,6 hours,49,"Hotel pickup and drop-off, English speaking cycle guide, Cannondale Mountain Bike & helmet, Cambodian lunch or dinner, Round-trip shared transfer, Ferry crossing fee, Entry/Admission - Mekong Island - Koh Dach","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
